unitID,comment(s)
Hamg,HeroArchMage
Hblm,HeroBloodMage
Hmkg,HeroMountainKing
Hpal,HeroPaladin
hbot,transport ship
hbsh,battleship
hdes,destroyer
hdhw,blood elf dragon hawk
hfoo,Footman
hgry,GryphonRider
hgyr,Flying Machine
hkni,Knight
hmil,Militia
hmpr,Priest
hmtm,MortarTeam
hmtt,Siege Engine
hpea,Peasant
hphx,Phoenix
hpxe,Phoenix Egg
hrif,Rifleman
hrtt,siege engine upgraded
hsor,Sorceress
hspt,Blood Elf Spell Breaker
hwat,WaterElemental
hwt2,WaterElemental level 2
hwt3,WaterElemental level 3
nlv1,LavaSpawn1
nlv2,LavaSpawn2
nlv3,LavaSpawn3
halt,AltarofKings
harm,Workshop
hars,ArcaneSanctum
hatw,Arcane Tower
hbar,HumanBarracks
hbla,Blacksmith
hcas,Castle
hctw,CannonTower
hgra,GryphonAviary
hgtw,GuardTower
hhou,Farm
hkee,Keep
hlum,LumberMill
hshy,human shipyard
htow,TownHall
hvlt,Arcane Vault
hwtw,Scout Tower
Obla,HeroBladeMaster
Ofar,HeroFarSeer
Oshd,HeroShadowHunter
Otch,HeroTaurenChieftain
ncat,Demolisher(Draenei)
nsw1,spirit beast level 1
nsw2,spirit beast level 2
nsw3,spirit beast level 3
nwad,WatcherWard
obot,orcish transport
ocat,Demolisher
odes,orcish destroyer
odoc,WitchDoctor
oeye,SentryWard
ogru,Grunt
ohun,HeadHunter
ohwd,Healing Ward
okod,KodoBeast
opeo,Peon
orai,WolfRider
oshm,Shaman
osp1,Serpent Ward 1
osp2,Serpent Ward 2
osp3,Serpent Ward 3
osp4,Serpent Ward 4
ospm,spiritwalkermorph
ospw,spiritwalker
osw1,spirit wolf level 1
osw2,spirit wolf level 2
osw3,spirit wolf level 3
otau,Tauren
otbk,Berserker
otbr,Troll Batrider
otot,StasisTrapward
owyv,Wind Rider
oalt,AltarofStorms
obar,Barracks
obea,Beastiary
ofor,Forge
ofrt,Fortress
ogre,GreatHall
oshy,orc shipyard
osld,SpiritLodge
ostr,Stronghold
otrb,OrcBurrow
otto,Tauren Totem
ovln,Voodoo Lounge
owtw,WatchTower
Edem,HeroDemonHunter
Edmm,HeroDemonHunterMorph
Ekee,HeroKeeperoftheGrove
Emoo,HeroMoonPriestess
Ewar,HeroWarden
earc,Archer
ebal,Glaive Thrower
ebsh,night elf battleship
echm,Chimaera
edcm,DruidoftheClawMorph
edes,night elf destroyer
edoc,DruidoftheClaw
edot,DruidoftheTalon
edry,Dryad
edtm,DruidoftheTalonMorph
efdr,faerie dragon
efon,Ent
ehip,Hippogryph
ehpr,Hippogryph Rider
emtg,Mountain Giant
esen,Huntress
espv,spirit of vengeance
even,vengeance
ewsp,Wisp
eaoe,AncientofLore
eaom,AncientofWar
eaow,AncientofWind
eate,AltarofElders
eden,Ancient of Wonders
edob,HuntersHall
edos,ChimaeraRoost
egol,EntangledGoldMine
emow,MoonWell
eshy,nightelf shipyard
etoa,TreeofAges
etoe,TreeofEternity
etol,TreeofLife
etrp,Ancient Protector
Ucrl,HeroCryptLord
Udea,HeroDeathKnight
Udre,HeroDreadLord
Ulic,HeroLich
uabo,Abomination
uaco,Acolyte
uban,Banshee
ubsp,destroyer
ucrm,CryptFiendMorph
ucry,CryptFiend
ucs1,carrion scarab level 1
ucs2,carrion scarab level 2
ucs3,carrion scarab level 3
ucsB,carrion scarab level 2 -burrowed
ucsC,carrion scarab level 3 -burrowed
ufro,FrostWyrm
ugar,Gargoyle
ugho,Ghoul
ugrm,GargoyleMorphed
uloc,locust
umtw,MeatWagon
unec,Necromancer
uobs,Obsidian Statue
uplg,PlagueWard
ushd,Shade
uske,SkeletonWarrior
uskm,Skeletal Mage
uubs,undead battleship
uaod,AltarofDarkness
ubon,Boneyard
ugol,UndeadGoldMine
ugrv,Graveyard
unp1,Halls of the Dead
unp2,Black Citadel
unpl,Necropolis
usap,SacrificialPit
usep,Crypt
ushp,undead shipyard
uslh,Slaughterhouse
utod,TempleoftheDamned
utom,Tomb of Relics
uzg1,Spirit Tower
uzg2,Frost Tower
uzig,Ziggurat
Nal2,HeroAlchemistMorph2
Nal3,HeroAlchemistMorph3
Nalc,HeroAlchemist
Nalm,HeroAlchemistMorph
Nbrn,HeroBansheeRanger
Nbst,Beastmaster
Nfir,FireLord
Nngs,HeroNagaSorceror
Npbm,HeroPandarenBrewmaster
Nplh,neutral pit lord
Nrob,HeroTinkerMorph
Ntin,HeroTinker
ncg1,Clockwerk Goblin(lvl 2)
ncg2,Clockwerk Goblin(lvl 3)
ncg3,Clockwerk Goblin(lvl 4)
ncgb,Clockwerk Goblin(lvl 1)
ndr1,DarkMinion1
ndr2,DarkMinion2
ndr3,DarkMinion3
nfa1,Pocket Factory
nfa2,Pocket Factory
nfac,Pocket Factory
ngz1,grizzly bear 1
ngz2,grizzly bear 2
ngz3,grizzly bear 3
ngz4,misha 4
ngzc,misha 1
ngzd,misha 2
npn1,Fire pandaren split
npn2,Wind pandaren split
npn3,Earth pandaren split
npn4,Fire pandaren split2
npn5,Wind pandaren split2
npn6,Earth pandaren split2
nqb1,quillbeast 1
nqb2,quillbeast 2
nqb3,quillbeast 3
nqb4,quillbeast 4
nwe1,war eagle 1
nwe2,war eagle 2
nwe3,war eagle 3
nadk,blue drake
nadr,blue dragon
nadw,blue dragon whelp
nahy,ancient hydra
nanb,barbed arachnathid
nanc,crystal arachnathid
nane,arachnathid earth-borer
nanm,barbed arachnathid(merc)
nano,arachnathid overlord
nanw,arachnathid warrior
narg,battle golem
nass,assassin
nba2,Doom Guard(summoned)
nbal,Doom Guard
nban,bandit
nbda,blue dragonspawn apprentice
nbdk,black drake
nbdm,blue dragonspawn meddler
nbdo,blue dragonspawn overseer
nbdr,black whelp
nbds,blue dragonspawn sorceror
nbdw,blue dragonspawn warrior
nbld,bandit lord
nbnb,barbed arachnathid burrowed
nbot,transport ship
nbrg,brigand
nbwm,black dragon
nbzd,bronze dragon
nbzk,bronze drake
nbzw,bronze dragon whelp
ncea,CentaurArcher
ncen,Centaur outrunner
ncer,centaur drudge
ncfs,watery minion cliffrunner
nchp,chaplain
ncim,Centaur impaler
ncks,centaur sorceror
ncnk,centaur khan
ndqn,succubus
ndqp,maiden of pain
ndqs,queen of suffering
ndqt,vile temptress
ndqv,vile tormentor
ndrv,revenant of the depths
ndtb,dark troll berserker
ndth,dark troll high priest
ndtp,dark troll shadow priest
ndtr,darkTroll
ndtt,darkTrollTrapper
ndtw,darkTrollwarlord
nehy,elder hydra
nelb,berserk elemental
nele,enraged elemental
nenc,corrupted ent
nenf,enforcer
nenp,poison ent
nepl,plague ent
nerd,eredar diabolist
ners,eredar sorceror
nerw,eredar warlock
nfel,fel stalker
nfgb,bloodfiend
nfgo,Forgotten One
nfgt,forgotten one tentacle
nfgu,felguard
nfod,faceless one deathbringer
nfor,faceless one trickster
nfot,faceless one terror
nfov,overlord
nfpc,Polar Furbolg Champion
nfpe,Polar Furbolg Elder Shaman
nfpl,Polar Furbolg
nfps,Polar Furbolg Shaman
nfpt,Polar Furbolg Tracker
nfpu,Polar Furbolg Ursa Warrior
nfra,Furbolg Ursa Warrior
nfrb,Furbolg Tracker
nfre,Furbolg Elder Shaman
nfrg,Furbolg Champion
nfrl,Furbolg
nfrp,Furbolg Panda
nfrs,Furbolg Shaman
nfsh,forest troll high priest
nfsp,forest troll shadow priest
nftb,forest troll berserker
nftk,ForestTrollKing
nftr,ForestTroll
nftt,ForestTrollTrapper
ngdk,green drake
nggr,granite golem
ngh1,ghost
ngh2,wraith
ngir,goblin shredder
nglm,goblin land mine
ngna,Gnoll Poacher
ngnb,gnoll brute
ngno,Gnoll Robber
ngns,Gnoll Assassin
ngnv,gnoll king
ngnw,gnoll warden
ngrd,green dragon
ngrk,mud golem
ngrw,green dragon whelp
ngsp,GoblinSapper
ngst,rock golem
ngza,misha 3
nhar,Harpy Scout
nhdc,deceiver
nhfp,fallen priest
nhhr,heretic
nhrh,harpy hag
nhrq,harpy queen
nhrr,harpy rogue
nhrw,harpy witch
nhyc,campaign turtle
nhyd,hydra
nhyh,hydra hatchling
nhym,hydromancer
nina,infernal automaton
ninc,infernal contraption
ninf,Infernal
ninm,infernal machine
nith,ice troll high priest
nitp,ice troll shadow priest
nitr,IceTroll
nits,ice troll berserker
nitt,ice troll trapper
nitw,ice troll warlord
njg1,Jungle Stalker
njga,Elder Jungle Stalker
njgb,Enranged Jungle Stalker
nkob,Kobold
nkog,Kobold Geomancer
nkol,kobold leader
nkot,kobold tunneler
nlds,makrura deep seer
nlkl,makrura tidal lord
nlpd,makrura pool dweller
nlpr,makrura prawn
nlps,makrura prawn summoned
nlrv,deeplord revenant
nlsn,makrura snapper
nltc,makrura tide caller
nltl,lightning lizard
nlur,Monster Lure ward
nmam,Mammoth
nmbg,mur'gul blood-gill
nmcf,mur'gul cliffrunner
nmdr,Dire Mammoth
nmfs,murloc flesheater
nmgd,magnataur destroyer
nmgr,magnataur reaver
nmgw,magnataur warrior
nmit,Icetusk Mammoth
nmmu,murloc mutant
nmpg,murloc plaguebearer
nmrl,murloc fisherman
nmrm,murloc nightcrawler
nmrr,murloc huntsman
nmrv,mur'gul reaver
nmsc,mur'gul shadowcaster
nmsn,mur'gul snarecaster
nmtw,mur'gul tidewarrior
nmyr,naga myrmidon
nmys,naga myrmidon submerged
nndk,nether drake
nndr,nether dragon
nnht,nether hatchling
nnmg,naga mur'gul
nnrg,naga royal guard
nnrs,naga royal guard submerged
nnsu,naga summoner
nnsw,naga siren
nnwa,nerubian warrior
nnwl,nerubian webspinner
nnwq,nerubian queen
nnwr,nerubian seer
nnws,nerubian spider lord
noga,Stonemaul Warchief
nogl,ogre lord
nogm,ogre mauler
nogn,Stonemaul Magi
nogo,Stonemaul Ogre
nogr,Ogre Warrior
nomg,ogre magi
nowb,owlbear
nowe,enraged owlbear
nowk,berserk owlbear
npfl,purple felhound
npfm,purple felhound
nplb,polar bear
nplg,giant polar bear
nqbh,quillboar hunter
nrdk,Red Dragon Whelp
nrdr,Red Drake
nrel,reef elemental
nrog,rogue
nrvd,death revenant
nrvf,fire revenant
nrvi,ice revenant
nrvl,lightning revenant
nrvs,frost revenant
nrwm,Red Dragon
nrzb,razormane brute
nrzg,razormane chieftain
nrzm,razormane medicine man
nrzs,razormane scout
nrzt,quillboar
nsat,Satyr Trickster
nsbm,brood mother
nsbs,snap dragon submerged
nsc2,spider crab
nsc3,spider crab
nsca,skeletal archer(summoned)
nscb,spider crab
nsce,SkeletonWarrior(summoned)
nsel,sea elemental
nsgb,sea giant behemoth
nsgg,siege golem
nsgh,sea giant hunter
nsgn,sea giant
nsgt,giant spider
nska,skeletal archer
nske,SkeletonWarrior
nskf,burning archer
nskg,giant SkeletonWarrior
nskm,skeletal marksman
nsko,skeletal orc
nslf,sludge flinger
nslh,salamander hatchling
nsll,salamander lord
nslm,sludge minion
nsln,sludge monstrosity
nslr,salamander
nslv,salamander vizier
nsnp,snap dragon
nsns,watery minion snarecaster
nsoc,skeletal orc champion
nsog,skeletal orc grunt
nspb,black spider
nspd,spiderling
nspg,green spider
nspp,spirit pig
nspr,spider
nsqa,ancient sasquatch
nsqe,elder sasquatch
nsqo,sasquatch oracle
nsqt,sasquatch
nsra,stormreaver apprentice
nsrh,stormreaver hermit
nsrn,stormreaver necrolyte
nsrv,revenant of the seas
nsrw,stormreaver warlock
nssp,spitting spider
nsth,satyr hellcaller
nstl,satyr soulstealer
nsts,satyr shadowdancer
nstw,storm wyrm
nsty,satyr
nthl,thunder lizard
ntka,tuskarr spearman
ntkc,tuskarr chieftain
ntkf,tuskarr fighter
ntkh,tuskarr healer
ntks,tuskarr sorceror
ntkt,tuskarr trapper
ntkw,tuskarr warrior
ntor,tornado
ntrd,dragon turtle
ntrg,gargantuan sea turtle
ntrh,sea turtle hatchling
ntrs,sea turtle
ntrt,giant sea turtle
ntrv,revenant of the tides
ntws,watery minion tidewarrior
nubk,unbroken darkhunter
nubr,unbroken rager
nubw,unbroken darkweaver
nvde,elder voidwalker
nvdg,greater voidwalker
nvdl,lesser voidwalker
nvdw,voidwalker
nwen,Wendigo
nwgs,naga coutl
nwiz,wizard
nwld,dire wolf
nwlg,giant wolf
nwlt,timber wolf
nwna,ancient wendigo
nwnr,elder wendigo
nwns,wendigo shaman
nwrg,war golem
nws1,dragon hawk
nwwd,white dire wolf
nwwf,white wolf
nwwg,giant white wolf
nwzd,dark wizard
nwzg,renegade wizard
nwzr,rogue wizard
nzep,GoblinZeppelin
nzom,Zombie
nzof,ZombieFemale
nalb,Albatross
ncrb,Crab
nder,deer
ndog,Dog
ndwm,Dune Worm
nech,Chicken
necr,Rabbit
nfbr,Felboar
nfro,Frog
nhmc,Hermit Crab
now2,owlscout 2
now3,owlscout 3
nowl,owlscout
npig,Pig
npng,Penguin
npnw,"Penguin, water"
nrac,Raccoon
nrat,Rat
nsea,Seal
nsha,Amph. Sheep
nshe,Sheep
nshf,Flying Sheep
nshw,Water Sheep (speccccial sheep)
nskk,Skink
nsno,Snowy Owl
nvil,Villager Man
nvk2,Villager Kid 2
nvl2,Villager Man 2
nvlk,Villager Kid
nvlw,Villager Woman
nvul,Vulture
ncb0,city building
ncb1,city building
ncb2,city building
ncb3,city building
ncb4,city building
ncb5,city building
ncb6,city building
ncb7,city building
ncb8,city building
ncb9,city building
ncba,city building
ncbb,city building
ncbc,city building
ncbd,city building
ncbe,city building
ncbf,city building
ncnt,Centaur Tent
ncop,Circle Of Power
ncp2,Circle Of Power medium
ncp3,Circle Of Power large
nct1,Centaur Tent
nct2,Centaur Tent
ndch,draenei chieftain hut
ndh0,draenei hut 0
ndh1,draenei hut 1
ndh2,draenei outpost
ndh3,draenei warriors hall
ndh4,draenei seer's lodge
ndrg,Dragon Roost green
ndrk,Dragon Roost black
ndro,Dragon Roost Outland
ndrr,Dragon Roost red
ndru,Dragon Roost blue
ndrz,Dragon Roost bronze
nfh0,Forest Troll Hut 0
nfh1,Forest Troll Hut 1
nfoh,Fountain of Health
nfr1,Furbolg Hut 1
nfr2,Furbolg Hut 2
ngad,Goblin Ammo Dump
ngme,goblin merchant
ngnh,Gnoll Hut
ngni,Infected Granary
ngol,GoldMine
ngt2,Gnoll Hut
ngwr,grain warehouse
nhns,harpy nest
nmer,MercenaryCamp L
nmg0,Murloc Hut 0
nmg1,Murloc Hut 1
nmh0,Murloc Hut 0
nmh1,Murloc Hut 1
nmoo,Fountain of Life
nmr0,MercenaryCamp V
nmr2,MercenaryCamp F
nmr3,MercenaryCamp W
nmr4,MercenaryCamp B
nmr5,MercenaryCamp A
nmr6,MercenaryCamp C
nmr7,MercenaryCamp N
nmr8,MercenaryCamp Y
nmr9,MercenaryCamp X
nmra,MercenaryCamp D
nmrb,MercenaryCamp G
nmrc,MercenaryCamp Z
nmrd,MercenaryCamp I
nmre,MercenaryCamp O
nmrf,MercenaryCamp K
nmrk,Marketplace
nnzg,nerubian ziggurat
nshp,Goblin Shipyard
ntav,Tavern
nten,Tent
nth0,Ice Troll Hut 0
nth1,Ice Troll Hut 1
ntn2,Tent
ntnt,Tauren Tent
ntt2,Tauren Tent
nwgt,WayGate
Ecen,cenarius
Eevi,evil illidan
Eevm,evil illidan demon form
Efur,furion
Eidm,illidan demon form
Eill,illidan
Eilm,illidanmorphed
Ekgg,HeroKeeperoftheGrove ghost
Emfr,Mal'furion
Emns,Mal'furion no stag
Etyr,Tyrande
Ewrd,Maiev
Hant,antonidus
Hapm,Admiral Proudmoore
Harf,arthas w/ frostmourne
Hart,arthas
Hdgo,Dagren the Orcslayer
Hgam,ghostly archmage
Hhkl,Halahk the Lifebringer
Hjai,jaina
Hkal,Kael
Hlgr,Lord Garithos
Hmbr,muradin bronzebeard
Hmgd,Magroth the Defender
Hpb1,paladin boss 1
Hpb2,paladin boss 2
Huth,uther
Hvsh,Lady Vashj
Hvwd,sylvanas windrunner
Naka,Akama
Nbbc,blackrock blademaster
Nkjx,Kiljaeden - cinematic only
Nklj,Kiljaeden
Nmag,Magtheridon
Nman,mannoroth
Npld,pit lord
Nsjs,Chen Stormstout
Ocb2,cairne bloodhoof
Ocbh,cairne bloodhoof
Odrt,Drek'Thar
Ogld,Gul'Dan
Ogrh,grom hellscream
Opgh,possessed grom hellscream
Orex,Rexxar
Orkn,Rokhan
Osam,Samuro
Otcc,cairne bloodhoof cinematic
Othr,thrall
Oths,thrall unmounted
Uanb,anub'arak
Ubal,balnazzar
