Tier,Command,Arguments,Description
All,affixinfo,[lane #] (1-17),Displays current round affixes.
All,animate,[index],Set unit animation by index.
All,apm,,Displays your APM for ACTIVE game time. (not counting intermissions)
All,automt,[seconds] (20.00 default),Automatically applies this extra time at the start of each round. Limit is 60 seconds.
All,clear,,Clears your screen.
All,color,[color],Set your player color.
All,colors,,Display all available colors.
All,disco,[on][off],Toggle disco mode.
All,error,[on][off],Turns the error prompts off or on
All,firstperson,,Toggle first person camera.
All,getdate,,"Gets the current date, time, day, month, etc."
All,glow,[true/false],Toggle unit glow.
All,help,,Displays all available commands.
All,jackpot,,Tells the number of jackpots all players have recieved this game.
All,kc,,Kicks yourself from the game.
All,kibble,,Displays the kibble collected by each player.
All,kibblecurrency,"player name, #, selected, or self",Gets the Kibble Currency information on the given player.
All,kick,[playerNumber],Initiate a votekick against a player.
All,komotocam,,Toggle KomotoCam.
All,lockcamera,,Locks your camera to a unit.
All,mirror,,Toggle mirror mode.
All,moretime,,Adds 20 secondsd to the round timer. Can only happen once per round.
All,music,,Opens the music frame.
All,names,,Hide all floating name tags.
All,oldcode,,Loads a previous save from RKR 4.2.0+.
All,overheadcam,,Gives an overhead view.
All,personalbests,[resolvePlayerId],"Gets personal best stats of the passed parm player, if no parm then yourself."
All,reset,,Resets your camera to default.
All,resetmytournamentdata,[],Resets your Tournament Data
All,rewards,,Opens the rewards frame.
All,rtr,[on/off] [player],Set RTR mode on/off.
All,save,,Save your current game stats.
All,savedvc,,Sets you to your previously last saved vortex color if you have one.
All,setcolor,[rgb],Set your player vertex color.
All,shop,,Opens the shop frame.
All,spincam,[speed],Toggle SpinCam.
All,stats,[resolvePlayerId],"Gets the game stats of the passed parm player, if no parm then yourself."
All,team,[team #],"Assigns you to the provided team arg #, (TEAM MODE ONLY)"
All,times,[player] [difficulty],"Gets fastest overall times of the passed parm player and difficulty, if no parm then yourself and current difficulty."
All,voteend,,Initiate a vote to end the round (Solo Tournament Only).
All,watcher,,Removes all units from game and you become an observer/spectator.
All,wild,,Set a random vertex color.
All,wolfinfo,[lane #] (1-17),Displays the current wolf count.
All,yes,,Vote yes for the current vote.
All,zoom,[xxxx],Adjust the camera zoom level.
VIP,activatechristmas,,Activates the Christmas terrain.
VIP,col,[player],"Gets collision of passed player, or yourself if no args."
VIP,deactivateseason,,Deactivates any current seasons.
VIP,scale,"[scale], [player]",Sets the scale of the passed player's kitty parameter.
VIP,skin,"[skinId], [player]",Sets the skin of the passed player parameter. Use \
Red,day,,Sets the time of day to day.
Red,disablekibble,,Disables Kibble
Red,night,,Sets the time of day to night.
Red,weather,[weather],"Options: snow, hsnow, blizzard, rain, hrain, rays, moonlight, none"
Admin,ability,[abilityId],Adds or removes an ability from the kitty.
Admin,activatebarrier,,Activates the barrier.
Admin,ai,[playerNumber],Toggles AI for the specified player.
Admin,ailaser,[free/blocked] [string ID],"Changes the color of the laser on all the AI, blocked or free"
Admin,aisetup,[dodgeRadius] [timerInterval] [laser],Sets up AI parameters.
Admin,aishare,,Shares control with all AI players.
Admin,aitest,,"Changes the color of the laser on all the AI, blocked or free"
Admin,applyaffix,[affix],Applies the specified affix to the currently selected wolf.
Admin,applyaffixall,[affix],Applies the specified affix to all wolves.
Admin,approved,[true][false],"Approves the current TOURNAMENT_ID, this only needs to get approved once per tournament series."
Admin,award,[name],Award currently selected player using award [name].
Admin,blink,,Adds a blink item to the kitty.
Admin,camfield,[value],Adjusts the camera field.
Admin,clearaffixes,,Clears all affixes from all wolves.
Admin,createhero,[playerNumber],Creates a hero for the specified player.
Admin,deactivatebarrier,,Deactivates the barrier.
Admin,deathless,[player],Teleports the ResolvePlayerId to each safezone all the way to the end
Admin,deletehero,[playerNumber],Deletes the hero of the specified player.
Admin,difficulty,[difficulty],Changes the game difficulty.
Admin,en,,Hides the lanes.
Admin,endround,,Ends the current round.
Admin,exec,,Executes lua script
Admin,gold,amount,Gives the resolvePlayerID gold
Admin,invulnerability,[player][on/off],Gives invulnerability.
Admin,killunit,resolve playerID,"Kills urself by default, or enter name/number/selected, parm. ONLY KITTIES"
Admin,level,[level][resolvePlayerId],Sets the passed player paramter
Admin,mem,,Prints debug names.
Admin,memtest,[on][off],Memory Handler Periodic Message
Admin,movespeed,[speed] [player],"Sets the absolute move speed of the passed player, or yourself if no player is provided."
Admin,noend,[on/off],Game won't end if turned on and all kitties die.
Admin,observer,[playerNameMatch],Forces a player into observer mode.
Admin,pauseround,,Pauses the round timer.
Admin,pausewolves,[on][off],Pauses all wolves. Defaults to [on]
Admin,playersperteam,[# Allowed Per Team],Sets the maximum # of people allowed per team to passed parm.
Admin,removeaffix,[affix],Removes the specified affix from the currently selected wolf.
Admin,resetcooldowns,,Resets the cooldowns of the selected unit.
Admin,resettournamentdata,[resolvePlayerId],Resets the resolvePlayerId Tournament Data
Admin,restart,,Restarts the current round and time to 0:00
Admin,revive,,Revives yourself.
Admin,reviveto,,"Revives your hero to an other hero, with the same facing angle."
Admin,roundset,[round],Sets the current round.
Admin,sendtostart,[resolvePlayerId],Sends the passed player to the start
Admin,setcommandtier,[resolvePlayerId] [CommandTier],Sets the CommandTier level of the passed ResolvePlayerId
Admin,sharecontrol,[resolvePlayerId] [on/off],Sets whether or not to force the player to share control [default: off]
Admin,slidespeed,[speed] [player],"Sets the absolute slide speed of the passed player, or yourself if no player is provided."
Admin,spawnkibble,[# of kibble],Spawns {int #} of kibbles 
Admin,spawnlocation,,Moves all kitties to the spawn location.
Admin,speededit,[on/off] [player],Turns on RTR and sets move speed to 800 for the specified player.
Admin,stat,[stat] [value],Sets the specified game stat for the selected player.
Admin,summon,,"Revives another hero to yours, with the same facing angle."
Admin,teammove,[ResolvePlayerId] [Team #],"Swaps the passed ResolvePlayerId to the provided Team #, no restrictions"
Admin,time,[time],Sets the specified game time for the selected player.
Admin,unpauseround,,Unpauses the round timer.
Admin,wolfeffects,[true][false],Disables the wolves overhead ! effects
Admin,wolfpause,[on][off],Pauses selected wolf. Defaults to [on]
Admin,wolfshare,[on][off],Gives you control of all the wolves.
Developer,benchmarktest,Testing performance in collision detection,Runs a benchmark test for collision detection. Results are printed. Beware of lag -- will cause performance issues while running.
Developer,chainedtest,,Starts chained together test
Developer,chaineffect,,Testing the chain effect model
Developer,fortest,[on][off],"Foreach memory test, executes 20k iterations of foreach loop."
Developer,kittylist,,Puts an effect test on for some nitro thingy
Developer,mockdata,[resolvePlayerId] or [all],Generates mock save data for testing. Use 'all' for all players or specify a player.
Developer,revivetest,[on][off],Activates the revive invul for 0.6 seconds. Served as a test run.
Developer,saveall,"Saves to alldata file, mock data purposes only","Saves to alldata file, mock data purposes only"
Developer,savetesting,,Save Testing for Lane Times
Developer,test10,,Getting wolf timer address Information
Developer,test5,,Creates TeamDeathless Effect
Developer,test8,,Puts an effect test on for some nitro thingy
Developer,test9,[weather],Sand Test
Developer,wolfwalk,[on][off],Sets the selected wolf to walking or not. Defaults to [on]
